country_id,date_id,plastic_production,ocean_pollution_share,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score
1,1,,0.0986413680601771,0.4899162842130613,,0.4090249217453569,,0.1505212969412556,14.327665471462296
2,1,,0.0019727769399169,0.4899162842130613,,0.4090249217453569,,0.3486597209178848,14.42369030618447
3,1,,0.0072784754228645,0.4899162842130613,,0.4090249217453569,,0.255437662957529,12.771477086295258
4,1,,0.0003145098064982,0.5727319907600565,1.1592599,0.4267488368102102,60.10561,0.0860119365778343,8.807964320522359
5,1,,0.0010840818980761,0.4899162842130613,,0.4090249217453569,,0.1070669338279716,9.556286762712574
6,1,,2.521126062561526e-06,0.4899162842130613,,0.4090249217453569,,0.0929492966967162,9.23067158920692
7,1,,0.0052149381422419,0.4899162842130613,,0.4090249217453569,,0.1496003667932844,10.57218967178546
8,1,,1.0,0.4899162842130613,,0.4090249217453569,,0.1246457182778108,49.86449917578632
9,1,,0.0003145098064982,0.4367132847365677,18.513683,0.5027617312111885,39.38922,0.0860119365778343,12.448538212786596
10,1,,4.033793057437045e-05,0.4899162842130613,,0.4090249217453569,,0.002966686429366,7.432532056040388
11,1,,2.521121123897871e-05,0.4899162842130613,,0.4090249217453569,,0.0817637545080769,9.007868348841187
12,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.009104297985714,7.553670769944374
13,1,,0.0310602068879717,0.4899162842130613,,0.4090249217453569,,0.0901324317456932,10.416641720662826
14,1,,5.672521911437252e-05,0.4899162842130613,,0.4090249217453569,,0.0436695518551086,8.247244856096842
15,1,,4.285905663693198e-05,0.4899162842130613,,0.4090249217453569,,0.0028083573801396,7.429466320098363
16,1,,0.0004714495736196,0.4899162842130613,,0.4090249217453569,,0.222055009604477,11.831542985264418
17,1,,0.0020660584066851,0.4899162842130613,,0.4090249217453569,,0.1625001895931005,10.70423093835951
18,1,,7.56336584102544e-06,0.4899162842130613,,0.4090249217453569,,0.2420523106872769,12.212933558609274
19,1,,0.0476479204495901,0.4899162842130613,,0.4090249217453569,,0.2246733279468497,13.770968187150697
20,1,,0.0001689150881385,0.4899162842130613,,0.4090249217453569,,0.0229515261998152,7.837371937751938
21,1,,8.823922698976635e-06,0.4899162842130613,,0.4090249217453569,,0.0063666525417116,7.499270817972286
22,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.2245844463390919,11.863273737011932
23,1,,0.0014030036597506,0.4899162842130613,,0.4090249217453569,,0.215913188283139,11.745968722282898
24,1,,0.0134514394316811,0.4899162842130613,,0.4090249217453569,,0.3217437651426156,14.344517690349653
25,1,,0.0003000133594185,0.4899162842130613,,0.4090249217453569,,0.0090308580187462,7.564202504981759
26,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0932852792124301,9.237290394478697
27,1,,0.0004059004318062,0.4899162842130613,,0.4090249217453569,,0.0233149773047746,7.854120373597836
28,1,,0.0891304402685514,0.9398530790200594,23.762764,0.3913010066805037,36.384026,0.1230931049766066,8.367579120488706
29,1,,0.0005433015120693,0.4899162842130613,,0.4090249217453569,,0.0243817312123272,7.880951494959415
30,1,,0.0,0.4899162842130613,,0.4090249217453569,,1.0,27.371584810230097
31,1,,0.0008521387941869,0.4899162842130613,,0.4090249217453569,,0.1745122995599273,10.895916353196116
32,1,,0.0005672521541037,0.4899162842130613,,0.4090249217453569,,0.0163500502123763,7.7212759006417695
33,1,,0.006030520688775,0.4899162842130613,,0.4090249217453569,,0.1630861039633893,10.87452771704888
34,1,,0.0002823655140205,0.4899162842130613,,0.4090249217453569,,0.061070784099885,8.604295112788618
35,1,,3.78168292051272e-06,0.4899162842130613,,0.4090249217453569,,0.0100033175868144,7.571802429283203
36,1,,0.0005294353495919,0.4899162842130613,,0.4090249217453569,,0.2269961525334408,11.93268527488259
37,1,,1.134504876153816e-05,0.4899162842130613,,0.4090249217453569,,0.0009328867212471,7.390696346605498
38,1,,5.042239778463915e-06,0.4899162842130613,,0.4090249217453569,,0.1519271714904565,10.410329929630365
39,1,,6.680969867130036e-05,0.4899162842130613,,0.4090249217453569,,0.2161470080913385,11.697197360003717
40,1,,0.0079112767187816,0.4899162842130613,,0.4090249217453569,,0.2598638494633691,12.885312868248745
41,1,,0.0027190286617161,0.4899162842130613,,0.4090249217453569,,0.0860119365778343,9.200584688255429
42,1,,0.0009013006474602,0.4899162842130613,,0.4090249217453569,,0.1918156259611855,11.243949355352214
43,1,,0.0014319965539101,0.4899162842130613,,0.4090249217453569,,0.0900453958464243,9.229772589314983
44,1,,0.0031148446139654,0.4899162842130613,,0.4090249217453569,,0.2056718625579301,11.609615845947316
45,1,,0.0010185327562628,0.4899162842130613,,0.4090249217453569,,0.0483139086252313,8.378604292985234
46,1,,0.0005105269349893,0.4899162842130613,,0.4090249217453569,,0.0997170564160227,9.386347015950122
47,1,,6.050690203488525e-05,0.4899162842130613,,0.4090249217453569,,0.345877519468769,14.29155547568687
48,1,,1.5126719335391744e-05,0.4899162842130613,,0.4090249217453569,,0.0064702728584514,7.501595336172538
49,1,,0.0073515879305189,0.8927335511029248,37.74739,0.0352182735188166,44.200645,0.0226936414608202,-7.122850959027588
50,1,,0.000460104524858,0.4899162842130613,,0.4090249217453569,,0.0623207573709293,8.636404138643003
51,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.006776692274564,7.507118655721373
52,1,,0.000296231676498,0.4899162842130613,,0.4090249217453569,,0.00609685950808,7.505371267451615
53,1,,8.823922698976635e-06,0.4899162842130613,,0.4090249217453569,,0.0061897648009117,7.495733063156288
54,1,,0.0005609493574673,0.4899162842130613,,0.4090249217453569,,0.039622697378846,8.186476732105707
55,1,,0.0005306959064498,0.4899162842130613,,0.4090249217453569,,0.2149815510953612,11.692443668395311
56,1,,3.78168292051272e-06,0.4899162842130613,,0.4090249217453569,,0.0010658117691853,7.393052312930622
57,1,,0.0001689150881385,0.4899162842130613,,0.4090249217453569,,0.0086897952695739,7.552137319147112
58,1,,0.0052754450442768,0.4899162842130613,,0.4090249217453569,,0.2458885632952413,12.500373877905991
59,1,,0.0002722810344636,0.4899162842130613,,0.4090249217453569,,0.0061503409043381,7.505482869695403
