entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score,risk_category
Cape Verde,2019,,0.0,CPV,0.4899162842130613,,0.40902492174535693,,0.09328527921243011,9.237290394478695,Low
Chile,2019,,0.00040590043180626604,CHL,0.4899162842130613,,0.40902492174535693,,0.023314977304774692,7.854120373597836,Low
China,2019,,0.08913044026855142,CHN,0.9398530790200594,23.762764,0.3913010066805037,36.384026,0.12309310497660667,8.367579120488706,Low
Colombia,2019,,0.0005433015120693795,COL,0.4899162842130613,,0.40902492174535693,,0.02438173121232728,7.880951494959415,Low
Comoros,2019,,0.0,COM,0.4899162842130613,,0.40902492174535693,,1.0,27.371584810230097,Low
Congo,2019,,0.0008521387941869026,COG,0.4899162842130613,,0.40902492174535693,,0.1745122995599273,10.895916353196117,Low
Costa Rica,2019,,0.0005672521541037479,CRI,0.4899162842130613,,0.40902492174535693,,0.016350050212376375,7.7212759006417695,Low
Cote d'Ivoire,2019,,0.006030520688775008,CIV,0.4899162842130613,,0.40902492174535693,,0.1630861039633893,10.874527717048881,Low
Croatia,2019,,0.0002823655140205932,HRV,0.4899162842130613,,0.40902492174535693,,0.06107078409988506,8.604295112788618,Low
Cyprus,2019,,3.78168292051272e-06,CYP,0.4899162842130613,,0.40902492174535693,,0.010003317586814423,7.571802429283203,Low
Democratic Republic of Congo,2019,,0.0005294353495919389,COD,0.4899162842130613,,0.40902492174535693,,0.22699615253344088,11.93268527488259,Low
Denmark,2019,,1.134504876153816e-05,DNK,0.4899162842130613,,0.40902492174535693,,0.0009328867212471103,7.390696346605498,Low
Djibouti,2019,,5.042239778463915e-06,DJI,0.4899162842130613,,0.40902492174535693,,0.15192717149045654,10.410329929630363,Low
Dominica,2019,,6.680969867130036e-05,DMA,0.4899162842130613,,0.40902492174535693,,0.21614700809133855,11.697197360003717,Low
Dominican Republic,2019,,0.007911276718781687,DOM,0.4899162842130613,,0.40902492174535693,,0.2598638494633691,12.885312868248743,Low
EU-27,2019,,0.0027190286617161407,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.200584688255429,Low
East Timor,2019,,0.0009013006474602498,TLS,0.4899162842130613,,0.40902492174535693,,0.1918156259611855,11.243949355352214,Low
Ecuador,2019,,0.0014319965539101398,ECU,0.4899162842130613,,0.40902492174535693,,0.09004539584642439,9.229772589314985,Low
Egypt,2019,,0.003114844613965479,EGY,0.4899162842130613,,0.40902492174535693,,0.20567186255793019,11.609615845947316,Low
El Salvador,2019,,0.0010185327562628483,SLV,0.4899162842130613,,0.40902492174535693,,0.048313908625231314,8.378604292985234,Low
Equatorial Guinea,2019,,0.0005105269349893754,GNQ,0.4899162842130613,,0.40902492174535693,,0.09971705641602274,9.386347015950122,Low
Eritrea,2019,,6.050690203488525e-05,ERI,0.4899162842130613,,0.40902492174535693,,0.34587751946876905,14.29155547568687,Low
Estonia,2019,,1.5126719335391744e-05,EST,0.4899162842130613,,0.40902492174535693,,0.0064702728584514445,7.501595336172538,Low
Europe,2019,,0.0073515879305189645,UNKNOWN,0.8927335511029248,37.74739,0.0352182735188166,44.200645,0.02269364146082027,-7.122850959027588,Low
Fiji,2019,,0.0004601045248580771,FJI,0.4899162842130613,,0.40902492174535693,,0.06232075737092932,8.636404138643003,Low
Finland,2019,,0.0,FIN,0.4899162842130613,,0.40902492174535693,,0.006776692274564021,7.507118655721373,Low
France,2019,,0.00029623167649803374,FRA,0.4899162842130613,,0.40902492174535693,,0.006096859508080004,7.505371267451615,Low
French Guiana,2019,,8.823922698976635e-06,GUF,0.4899162842130613,,0.40902492174535693,,0.006189764800911789,7.495733063156288,Low
Gabon,2019,,0.0005609493574673328,GAB,0.4899162842130613,,0.40902492174535693,,0.03962269737884608,8.186476732105707,Low
Gambia,2019,,0.0005306959064498902,GMB,0.4899162842130613,,0.40902492174535693,,0.2149815510953612,11.692443668395313,Low
Georgia,2019,,3.78168292051272e-06,GEO,0.4899162842130613,,0.40902492174535693,,0.0010658117691853509,7.393052312930622,Low
Germany,2019,,0.00016891508813850727,DEU,0.4899162842130613,,0.40902492174535693,,0.00868979526957394,7.552137319147112,Low
Ghana,2019,,0.005275445044276848,GHA,0.4899162842130613,,0.40902492174535693,,0.2458885632952413,12.500373877905993,Low
Greece,2019,,0.00027228103446366535,GRC,0.4899162842130613,,0.40902492174535693,,0.006150340904338123,7.505482869695403,Low
Grenada,2019,,0.00016387284836004334,GRD,0.4899162842130613,,0.40902492174535693,,0.17425987449342156,10.863337214032928,Low
Guadeloupe,2019,,5.042239778463915e-06,GLP,0.4899162842130613,,0.40902492174535693,,0.005787111584772252,7.487528731516677,Low
Guatemala,2019,,0.00900292198269891,GTM,0.4899162842130613,,0.40902492174535693,,0.2544411194838367,12.820524079214785,Low
Guinea,2019,,0.002958535131446461,GIN,0.4899162842130613,,0.40902492174535693,,0.1666706542458592,10.823339300405136,Low
Guinea-Bissau,2019,,0.0003113584081800846,GNB,0.4899162842130613,,0.40902492174535693,,0.15321686340808602,10.448376414719016,Low
Guyana,2019,,0.0015706581910312043,GUY,0.4899162842130613,,0.40902492174535693,,0.5064023947101223,17.56245903207379,Low
Haiti,2019,,0.008734422631155756,HTI,0.4899162842130613,,0.40902492174535693,,0.30390765389142826,13.79911479330489,Low
Honduras,2019,,0.0030707250004705956,HND,0.4899162842130613,,0.40902492174535693,,0.21545956989990186,11.803605208246957,Low
